experiment,"samples=100,val_ratio=10%_accuracy","samples=100,val_ratio=10%_val_loss_mean","samples=100,val_ratio=10%_val_loss_final","samples=100,val_ratio=20%_accuracy","samples=100,val_ratio=20%_val_loss_mean","samples=100,val_ratio=20%_val_loss_final","samples=100,val_ratio=30%_accuracy","samples=100,val_ratio=30%_val_loss_mean","samples=100,val_ratio=30%_val_loss_final","samples=500,val_ratio=10%_accuracy","samples=500,val_ratio=10%_val_loss_mean","samples=500,val_ratio=10%_val_loss_final","samples=500,val_ratio=20%_accuracy","samples=500,val_ratio=20%_val_loss_mean","samples=500,val_ratio=20%_val_loss_final","samples=500,val_ratio=30%_accuracy","samples=500,val_ratio=30%_val_loss_mean","samples=500,val_ratio=30%_val_loss_final","samples=1000,val_ratio=10%_accuracy","samples=1000,val_ratio=10%_val_loss_mean","samples=1000,val_ratio=10%_val_loss_final","samples=1000,val_ratio=20%_accuracy","samples=1000,val_ratio=20%_val_loss_mean","samples=1000,val_ratio=20%_val_loss_final","samples=1000,val_ratio=30%_accuracy","samples=1000,val_ratio=30%_val_loss_mean","samples=1000,val_ratio=30%_val_loss_final",best_dataset_by_min_val_loss
"lr_decay=0.02,batch_size=8,layers=[100,50,5,3]",0.9,0.0661015623712022,0.048521381154902364,1.0,0.0787780169856432,0.05525585009455125,1.0,0.03675354590776439,0.00235194540450605,0.94,0.02650837322691887,0.01291930137181605,0.98,0.043993495947040565,0.004905721612305886,0.9733333333333334,0.015965529344151807,0.00490414278672592,1.0,0.011180868977824722,0.00017180267374403068,0.975,0.014420682521802137,0.006609135983172732,0.9966666666666667,0.0168846052631068,0.0009287804216682353,"samples=1000,val_ratio=10%"
"lr_decay=0.05,batch_size=16,layers=[100,50,5,3]",0.6,0.06997474782653165,0.05080641533010269,1.0,0.07162980354672568,0.05221920160452517,0.8333333333333334,0.07611207969301916,0.052809130568481806,0.98,0.03657798453381568,0.007719651315365429,0.98,0.0363698675254232,0.004171604847407647,1.0,0.045047161262952905,0.006596564466484594,1.0,0.014601852500771855,0.00030156382952715354,0.96,0.030098508026278163,0.010414926918348897,0.9966666666666667,0.017925435216725617,0.0010089514117228458,"samples=1000,val_ratio=10%"
"lr_decay=0.05,batch_size=8,layers=[100,50,5,3]",0.9,0.057771218644666895,0.03741111807206924,1.0,0.0553010919875805,0.023179105304053135,1.0,0.03453074933078191,0.0037337919439401593,0.94,0.02469384419004881,0.014602002217927955,0.98,0.04413610662937122,0.005077928780778121,0.9733333333333334,0.014080377277461354,0.004999516039595985,1.0,0.012331566468836184,0.00021631889312360552,0.96,0.031763360301848835,0.010781348102235386,0.9966666666666667,0.019917763269669247,0.0010813651696142644,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=16,layers=[100,40,25,3]",1.0,0.03411550892584643,0.00046111432145705194,1.0,0.08635972362954526,0.05220067549713205,1.0,0.02932067615431693,0.0002484137925494318,1.0,0.021121147385511484,0.0005236911424083945,1.0,0.020068681371240366,0.0003628530687351179,1.0,0.02378514929095531,0.000260484737119612,1.0,0.014108271982164028,4.130905483731867e-05,1.0,0.02636118234430402,0.0004119788976107658,0.9966666666666667,0.01990466341886901,0.0004724544194066211,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=8,layers=[100,40,25,3]",1.0,0.03193626038933045,0.0003165419340044801,1.0,0.02694163177665216,0.00014532994600317917,1.0,0.027456948477657134,0.00016518658100987834,1.0,0.019026799949164955,0.00044600232284485304,1.0,0.016517511569552713,0.00027941353525204234,1.0,0.019989954230421287,0.0001884252413091461,1.0,0.010986162072296813,2.6969251680389104e-05,1.0,0.017011436532607924,0.0002405388830057964,0.9966666666666667,0.02654790862490675,0.0005971640484774282,"samples=1000,val_ratio=10%"
"lr_decay=0.02,batch_size=16,layers=[100,40,25,3]",1.0,0.03426330886026186,0.0006056184532395988,1.0,0.03140743461087083,0.00044597365216868663,1.0,0.03266288960324517,0.0005617071296271699,1.0,0.024532256051907,0.0006653222166670966,1.0,0.020223590376657788,0.0003791659199827527,1.0,0.023989409549128312,0.00028058270117286096,1.0,0.013683713302932781,4.011932171510439e-05,1.0,0.022315256601356515,0.000321806816354795,1.0,0.03329247139020791,0.0008515884834209773,"samples=1000,val_ratio=10%"
"lr_decay=0.02,batch_size=8,layers=[100,40,25,3]",1.0,0.033072700914140225,0.0004137499706626183,1.0,0.026140720113372113,0.00015786136086116994,1.0,0.024922455677303456,0.00014293765835220407,1.0,0.017484255869027892,0.00039924781531548606,1.0,0.016302516748416294,0.0002816320791012968,1.0,0.019982958321476212,0.00019428459237512784,1.0,0.009729832719972577,2.20905452788632e-05,1.0,0.01085711588076595,0.00018225467685689832,0.9966666666666667,0.022424702498393623,0.0005145162306160178,"samples=1000,val_ratio=10%"
"lr_decay=0.05,batch_size=16,layers=[100,40,25,3]",1.0,0.03682761002705554,0.0018237966039980349,1.0,0.026038373704354335,0.0011603160555406678,1.0,0.02632228580263988,0.0012163761208258995,1.0,0.024550111257543607,0.0007142926485167577,1.0,0.01944872721610813,0.0004062917147922096,1.0,0.02605770277678892,0.0003887926505143554,1.0,0.013550108685188349,4.333217037763019e-05,1.0,0.026424111377153836,0.000435182217986676,0.9966666666666667,0.025612619919609857,0.0005973945115637604,"samples=1000,val_ratio=10%"
"lr_decay=0.05,batch_size=8,layers=[100,40,25,3]",1.0,0.029624040625173882,0.0004123252939028628,1.0,0.0253924989137976,0.00028280158826973886,1.0,0.026366212101366124,0.0003683492787102433,1.0,0.020720024309008246,0.0005231258689122303,1.0,0.016308356143081973,0.00029683380227238376,1.0,0.019447228266912895,0.0002037875258144436,1.0,0.011013021768284826,2.899777651230304e-05,1.0,0.02307443200857239,0.0003497426511874006,0.9966666666666667,0.022624896306635264,0.0005424212590888399,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=16,layers=[100,40,20,3]",1.0,0.029222060704767627,0.0003692329911932682,1.0,0.03075028686660264,0.0003219527022857805,1.0,0.028213560423702096,0.000242128069898821,1.0,0.022578212748829495,0.0004886895530347202,1.0,0.028120870365592132,0.001192255188952276,1.0,0.02284376839936009,0.0011790918472460081,1.0,0.021047240478076844,0.000136900111995512,1.0,0.01799501988681208,0.0005120856834582708,0.9966666666666667,0.02137297112782597,0.0005581667216290373,"samples=1000,val_ratio=20%"
"lr_decay=0.01,batch_size=8,layers=[100,40,20,3]",1.0,0.03271657788579014,0.0005417099278596801,1.0,0.031025144091308188,0.00028006420083961654,1.0,0.02742991429596506,0.00018781835336274537,1.0,0.021825139024445377,0.0004636580153325685,1.0,0.018875572367557478,0.0012417166761379903,1.0,0.022788453058644614,0.0011705869259155332,1.0,0.010410836991074708,3.304628868722305e-05,1.0,0.014210105016579839,0.0004303549508443662,0.9966666666666667,0.018984055800937982,0.000527374576363147,"samples=1000,val_ratio=10%"
"lr_decay=0.02,batch_size=16,layers=[100,40,20,3]",1.0,0.03682392802433432,0.001243856936204716,1.0,0.030206588117863645,0.0004523375221127903,1.0,0.027240574692833013,0.00031116610737783707,1.0,0.027749067954418994,0.00074922690852996,1.0,0.022788852149931434,0.0011190976050749674,1.0,0.027482634059328416,0.0012287769153401427,1.0,0.021883446320417325,0.0001590086001769612,1.0,0.01974244194422841,0.0005680290494297435,1.0,0.024697448131478186,0.0006098937680559868,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=8,layers=[100,40,20,3]",1.0,0.03138126271617722,0.0004977466198073956,1.0,0.02559542361157326,0.00016895176657389212,1.0,0.026292154817129033,0.00019859534033984144,1.0,0.016760337533188025,0.00028220918491124095,1.0,0.02305546283817398,0.0011321369095925022,1.0,0.02009762505086175,0.0011692879876692938,1.0,0.019968786051386644,0.00013381574692124433,1.0,0.016771670986121916,0.0004891962330481132,0.9966666666666667,0.022420597366545256,0.0005710956220609462,"samples=500,val_ratio=10%"
"lr_decay=0.05,batch_size=16,layers=[100,40,20,3]",1.0,0.029234919923898442,0.0011749126017991734,0.3,0.11165167100826107,0.10733856066722904,1.0,0.07438525804335214,0.04474292200980463,1.0,0.024706075254072667,0.0006548831020377309,1.0,0.026537447137204944,0.0012113737404443948,1.0,0.022189544768878484,0.0011961833770723562,1.0,0.017871358016446487,0.00010827166558421277,1.0,0.01562805657757363,0.0004832553600208711,1.0,0.029829452340617704,0.0007465470689893795,"samples=1000,val_ratio=20%"
"lr_decay=0.05,batch_size=8,layers=[100,40,20,3]",1.0,0.029777045187031254,0.0006096024908443146,1.0,0.02363949233409721,0.00028978865566730227,1.0,0.023720264355189296,0.0003140507579808832,1.0,0.017900587429533828,0.0003394164290615959,1.0,0.022105399798706956,0.0011329837157047712,1.0,0.01922306788529042,0.0011643412615041273,1.0,0.01945318452447114,0.00012786538260069034,1.0,0.01306190385624533,0.00041492474997555795,0.9966666666666667,0.02225042167842125,0.0005797676612610772,"samples=1000,val_ratio=20%"
"lr_decay=0.01,batch_size=16,layers=[100,40,15,3]",1.0,0.0305633543785418,0.0005250258770041691,1.0,0.0267615678756812,0.0002867386573951518,1.0,0.032132106549725384,0.00029932582963838726,0.96,0.02161036013807611,0.003905647979792352,1.0,0.02174875793613496,0.0017829551736203105,1.0,0.024305294086903798,0.0005243749317081278,1.0,0.019428990477954218,0.0002488042554062453,1.0,0.01729882814984081,0.00036871396574371824,1.0,0.023245226061404452,0.0008118356431589142,"samples=1000,val_ratio=20%"
"lr_decay=0.01,batch_size=8,layers=[100,40,15,3]",1.0,0.029548659818224104,0.000429432504811698,1.0,0.024233610062128125,0.0001719727999567726,1.0,0.02814606116417917,0.0001631381538729232,1.0,0.017703895934215966,0.003564498548581069,0.99,0.01788789201970352,0.001900434190188128,1.0,0.014745193827972089,0.000196914361759239,1.0,0.015230637521016676,0.00016334642541096956,1.0,0.01091516018787514,0.00022933629775142184,1.0,0.010083480154362695,0.00035400776938697377,"samples=1000,val_ratio=30%"
"lr_decay=0.02,batch_size=16,layers=[100,40,15,3]",1.0,0.031900334775905814,0.0007497132714670917,1.0,0.028152749895607558,0.0004995785802529482,1.0,0.028817703442052502,0.00029580140333809046,0.96,0.021667811153114197,0.003873985596181906,1.0,0.021061665545584304,0.001786011337269269,1.0,0.021433767161583923,0.00041730524000403854,1.0,0.013310116448196806,0.00011274083542988843,1.0,0.01442889701570291,0.00030334882202088143,1.0,0.017837398966094684,0.0006155270891402788,"samples=1000,val_ratio=10%"
"lr_decay=0.02,batch_size=8,layers=[100,40,15,3]",1.0,0.034266707917524654,0.0008424301692012564,1.0,0.023916487847611884,0.00020054797766242373,1.0,0.02582840949719901,0.0001502285488948965,1.0,0.017213736267384087,0.0035367167938475377,0.99,0.01762337750139318,0.001890469721411254,1.0,0.019498252816080898,0.00035187557095091754,1.0,0.019863978186264588,0.0002729918985658589,1.0,0.011309194946958182,0.00024130068594825852,1.0,0.011951766178804673,0.00042840360033028304,"samples=1000,val_ratio=20%"
"lr_decay=0.05,batch_size=16,layers=[100,40,15,3]",1.0,0.03242729010369794,0.0015952205670019407,1.0,0.024824422937388277,0.0017324201068034673,1.0,0.025953448374142575,0.0009765539292520203,0.96,0.02006026167551441,0.003965564998779279,1.0,0.02060644016553568,0.0017589066544527244,1.0,0.023127857769483784,0.0005949018984170725,1.0,0.01711205236986346,0.00021103019654863272,1.0,0.01441075119267471,0.00032394797224078446,1.0,0.019483939426164255,0.0007133304509712015,"samples=1000,val_ratio=20%"
